Auteurs,References articles
C.S.Aulakh,"['9204066', '9205019', '9206104', '9403085', '9404133']"
Kenichro Aoki,['9204067']
Eric D'Hoker,"['9204067', '9302003', '9303094', '9404128', '9409113', '9412055', '9502162', '9505109', '9506163', '9506085', '9508131', '9512080', '9603206', '9609145', '9609221', '9609041', '9609079', '9610156', '9701055', '9709053', '9807098', '9809179', '9811257', '9902042', '9903196', '9905049', '9906027', '9911222', '9912271', '0109065', '0110247', '0110283', '0111016', '0111040', '0201253', '0211111', '0212313']"
Peter Peldan,['9204069']
F.Delduc,"['9204071', '9207050', '9301024', '9307106', '9312041', '9404037', '9410203', '9510033', '9512220', '9512221', '9611033', '9703046', '9912222', '9912292', '0111106']"
W.M.Nelson,['9204072']
Hiroshi Nohara,"['9204073', '9403078']"
Vidyut Jain,"['9205001', '9308090', '9606052', '9606135']"
Oleg Ogievetsky,"['9205001', '9211026']"
H.Awata,"['9205002', '9305017', '9305146', '9306010', '9312208', '9402001', '9404041', '9405093', '9406111', '9408158', '9411053', '9503028', '9503043', '9512065', '9612233', '9706083', '9711034', '9902158']"
Y.Yamada,"['9205002', '9302048', '9304121', '9405106']"
O.Ogievetsky,"['9205003', '9210153', '9212155']"
B.Zumino,"['9205003', '0105065', '0105192', '0107225', '0206231']"
Glenn Barnich,"['9205005', '9411202', '9505173', '9601124', '9709164', '9710162', '9805030', '9807210', '9910201', '9912247', '0002245', '0003135', '0011120', '0111246', '0206003', '0301039']"
Marc Henneaux,"['9205005', '9205018', '9205092', '9209062', '9411202', '9412141', '9505173', '9506187', '9510116', '9511145', '9601124', '9603031', '9605159', '9606172', '9606181', '9611056', '9702042', '9704023', '9705007', '9706119', '9712226', '9802118', '9804022', '9805165', '9812140', '9902137', '9909094', '9910201', '9910013', '9912052', '9912077', '0002245', '0003139', '0004049', '0006171', '0007220', '0009109', '0012172', '0103094', '0111032', '0201023', '0201170', '0206125', '0210278', '0304233']"
J.Greensite,"['9205006', '9207028', '9806235', '9901057', '0008080']"
John C.Baez,"['9205007', '9207041', '9301063', '9305045', '9309067', '9310201', '9703112', '0206130']"
Jerome P.Gauntlett,"['9205008', '9211056', '9305068', '9309075', '9312172', '9404076', '9506012', '9601085', '9604179', '9610046', '9705011', '9705025', '9711205', '9803216', '9809065', '9811024', '9906162', '9909098', '9912082', '0001024', '0004136', '0007124', '0008031', '0008221', '0011190', '0012178', '0012195', '0105250', '0106117', '0109039', '0110034', '0202184', '0203255', '0205050', '0209114', '0212008', '0302158', '0304064']"
Gabriel Lopes Cardoso,"['9205009', '9210114', '9308066', '9410056', '9411095', '9412209', '9412071', '9507113', '9512129', '9601145', '9603108', '9607184', '9608099', '9608154', '9609111', '9706032', '9709174', '9801081', '9801113', '9804064', '9806036', '9812082', '9904005', '9906094', '9910179', '0102128', '0104156', '0201270', '0207024']"
Burt A.Ovrut,"['9205009', '9210114', '9308066', '9410056', '9506173', '9506028', '9509006', '9509054', '9509142', '9509147', '9509174', '9511223', '9602075', '9605145', '9608195', '9609016', '9610238', '9611204', '9704045', '9704178', '9706216', '9709030', '9709214', '9710142', '9710208', '9711197', '9802041', '9803235', '9806022', '9806051', '9808101', '9811168', '9812052', '9901009', '9901017', '9902071', '9903028', '9903144', '9904054', '9905115', '9908100', '9912208', '0001101', '0001112', '0001133', '0003256', '0005251', '0103239', '0105199', '0105212', '0108078', '0108187', '0109050', '0110036', '0201032', '0202084', '0205190', '0206203', '0212221', '0303020']"
L.Alvarez-Gaume,"['9205010', '9208026', '9212006', '9309039', '9406206', '9410237', '9507112', '9510028', '9606168', '9606191', '9701069', '0006209', '0103069', '0109176']"
J.L.F.Barbon,"['9205010', '9208026', '9309039', '9402004', '9406209', '9502155', '9506137', '9512063', '9601098', '9603089', '9605050', '9701075', '9701142', '9703051', '9703138', '9708041', '9711030', '9712135', '9804029', '9805143', '9805154', '9809033', '9902058', '9904190', '9910019', '9911004', '0002187', '0004080', '0005073', '0006209', '0103069', '0104169', '0109176', '0112173', '0112185', '0205280', '0206207', '0209224', '0211212']"
M.Dine,"['9205011', '9406132', '9609046', '9710174']"
R.G.Leigh,"['9205011', '9403198', '9505088', '9506148', '9512191', '9605049', '9704143', '0304217']"
D.A.Macintire,"['9205011', '9308149']"
B.De Wit,"['9205012', '9208074', '9210068', '9307027', '9310067', '9505097', '9510186', '9511019', '9512143', '9601044', '9601115', '9603191', '9610105', '9612203', '9707261', '9707262', '9710212', '9712082', '9801039', '9801200', '0003157', '0009234', '0012232', '0105289']"
E.Rabinovici,"['9205012', '9304155', '9307067', '9311081', '9312003', '9401139', '9409011', '9504080', '9509130', '9512140', '9603051', '9704104', '9706122', '9707217', '9712084', '9801048', '9805143', '9809033', '9902058', '9910019', '9911004', '0005073', '0009009', '0104169', '0112173', '0204189', '0210044', '0211212']"
H.Nicolai,"['9205012', '9208074', '9309052', '9406175', '9411188', '9412002', '9412072', '9504088', '9505106', '9604155', '9605144', '9608014', '9608082', '9612065', '9703084', '9804152', '9903111', '9906106', '0006034', '0008063', '0010076', '0102123', '0103032', '0106153', '0107146', '0109005', '0207206', '0207267', '0212256']"
G.P.Korchemsky,"['9205014', '9206088', '9404173', '9508025', '9609123', '9704079', '0107193', '0204124', '0210216', '0212169', '0304028']"
P.O.Mazur,"['9205015', '9301002', '9611145', '9801068']"
E.Mottola,"['9205015', '9301002', '9611145']"
Jnanadeva Maharana,"['9205016', '9206017', '9211041', '9302069', '9401147', '9401157', '9412235', '9412026', '9502001', '9502002', '9504161', '9511159', '9511213', '9701115', '9703009', '9709017', '9801181', '9911200', '0207059']"
B.Harms,"['9205021', '9207079', '9208070', '9211117', '9304105', '9305065', '9307104', '9307042', '9308030', '9311077', '9407088', '9601155', '9606069', '0001080', '0110255']"
Y.Leblanc,"['9205021', '9207079', '9208070', '9211117', '9304105', '9305065', '9307104', '9307042', '9308030', '9311077', '9407088', '9606069']"
Steven Carlip,"['9205022', '9206103']"
Rue-Ron Hsu,"['9205023', '9206068', '9302065', '9512207']"
Green Huang,"['9205023', '9206068']"
Wei-Fu Lin,"['9205023', '9206068', '9302065']"
Chin-Rong Lee,"['9205023', '9512207']"
M.Fabbrichesi,"['9205025', '9205033', '9207087', '9309037', '9811204', '0207013']"
R.Iengo,"['9205025', '9207087', '9307011', '9502085', '9806048', '9807209', '9810150', '0111200', '0201269']"
K.Roland,"['9205025', '9205033', '9411015', '9503040', '9508135', '9611013']"
Vipul Periwal,"['9205026', '9206102', '9210156', '9211016', '9211078', '9304129', '9305115', '9411019', '9503007', '9508014', '9509084', '9512108', '9603156', '9611103', '9611132', '9612215', '9703135', '9709200', '9710204', '9711046', '9802034', '9802089', '9803150', '9803195', '9808127', '9811165', '9812003', '9906052', '9908166', '9908203', '9909152', '0003179', '0006223', '0006001', '0008046', '0106242', '0303111']"
Andrei Linde,"['9205027', '9402115', '9405187', '9408023', '9410082', '9411111', '9502069', '9503097', '9507022', '9510119', '9511115', '9601083', '9611161', '9801073', '9811141', '9904120', '9907124', '9910021', '0001071', '0006179', '0011225', '0104073', '0106179', '0106241', '0107176', '0110089', '0110195', '0202017', '0205121', '0205259', '0206088', '0208156', '0208157', '0211048', '0301240', '0304225']"
Tomás Ortín,"['9205027', '9208078', '9404035', '9410069']"
Amanda Peet,"['9205027', '9205114', '9209116', '9211015', '9710097']"
Antoine Van Proeyen,"['9205027', '9207091', '9307126', '9407061', '9410162', '9509035', '9510195', '9512139', '9606073', '9611112', '9710166', '9711161', '9801112', '9801140', '9803228', '9804099', '9812066', '9901060', '9902100', '9904066', '9904085', '9907124', '9910030', '9912049', '0003261', '0006179', '0007044', '0010194', '0010195', '0012110', '0104056', '0104113', '0105158', '0109094', '0110263', '0205119', '0205230', '0301005', '0301024', '0304210']"
Paul Langacker,"['9205029', '9805133', '0006049', '0206115', '0303208']"
Haruhiko Terao,"['9205030', '9212002', '9303081', '9707005', '9801027', '9803056', '9812050', '9908042', '9908043', '9908062', '0002038', '0002231']"
Costas Bachas,['9205031']
Marios Petropoulos,['9205031']
W.A.Sabra,"['9205032', '9206059', '9207012', '9210030', '9301079', '9304066', '9307172', '9309133', '9310008', '9312122', '9405031', '9405198', '9407049', '9407163', '9408171', '9502144', '9509014', '9602132', '9603085', '9604157', '9608073', '9608075', '9608106', '9611210', '9702010', '9703101', '9704147', '9708103', '9801161', '9807187', '9810227', '9903046', '9903143', '9911180', '9911195', '0001131', '0003041', '0003213', '0004077', '0009212', '0010200', '0010025', '0011016', '0103133', '0105207', '0106092', '0203038', '0207128', '0210265', '0304253']"
Alfred S.Goldhaber,"['9205036', '9305007', '9702100', '9712190', '9712192']"
I.Bars,"['9205037', '9206006', '9208001', '9301047', '9710066', '9803188', '9812161', '9904063', '9906223', '9907087', '9910091', '0010101', '0103209', '0211131', '0302151', '0304005']"
K.Sfetsos,"['9205037', '9206006', '9208001', '9301047', '9308018', '9310159', '9404063', '9502065', '9601087', '9601158', '9604195', '9604003', '9607203', '9711138', '9902125', '9903109', '9906201', '9908116', '9909041', '9912132', '0002092', '0004148', '0006222', '0011203', '0012125', '0111274', '0204193', '0205006', '0212056']"
P.P.Kulish,"['9205039', '9209054', '9209060', '9212007', '9309036', '9312139', '9405161', '9409172', '9411121', '9503066', '9507070', '9702013']"
R.Sasaki,"['9205039', '9207025', '9212007', '9304065', '9311027', '9404108', '9509153', '9805106', '9809068', '9812232', '9905011', '9907102', '9910033', '0001074', '0005277', '0005278', '0102153', '0105164', '0105197', '0106130', '0108155', '0109008', '0204039', '0206172']"
C.Schwiebert,"['9205039', '9301023', '9402051', '9412237']"
Patrick Dorey,"['9205040', '9206052', '9211115', '9212143', '9304149', '9601123', '9607167', '9706140', '9712197', '9810026', '9810098', '9810202', '9812211', '9906219', '9909216', '9910102', '0001185', '0008039', '0008071', '0010148', '0101174', '0103051', '0104119', '0201108', '0208111', '0208202', '0211174']"
Albrecht Klemm,"['9205041', '9207111', '9210142', '9609239', '9705131', '9712035', '9903052', '9906046', '9910181', '0105045', '0106155', '0211098', '0211216']"
Stefan Theisen,"['9205041', '9208072', '9210142', '9304040', '9506110', '9609062', '9803135', '9808126', '9901134', '9903042', '9907107', '0001068', '0002135', '0003068', '0007231', '0102007', '0203080', '0203165', '0211216']"
Peter Suranyi,['9205042']
Joseph Polchinski,"['9205043', '9210045', '9210046', '9309152', '9402156', '9407008', '9407031', '9409168', '9411028', '9506138', '9507094', '9510169', '9510227', '9510017', '9511157', '9601038', '9602052', '9605184', '9606165', '9607050', '9611050', '9612146', '9703031', '9704029', '9707170', '9711037', '9809022', '9812104', '9901076', '9903165', '9903228', '9911161', '0003136', '0004134', '0008076', '0009211', '0011193', '0105097', '0106014', '0109174', '0112204', '0201029', '0206228', '0209104', '0209105', '0209211', '0304042']"
T.Kuramoto,['9205044']
Silvia Penati,"['9205045', '9207018', '9211033', '9510084', '9710166', '9712137', '9803230', '0002045', '0010177', '0104190', '0107071', '0112246']"
Daniela Zanon,"['9205045', '9207018', '9211033', '9510084', '9710166', '9712137', '9801112', '9801140', '9803228', '9803230', '9809202', '9902100', '9905091', '9910065', '0009196', '0010275', '0011140', '0012009', '0105277', '0202073', '0206079', '0211135', '0212071', '0212096']"
C.Kounnas,"['9205046', '9304102', '9308124', '9310202', '9312143', '9402073', '9402080', '9404092', '9404114', '9405188', '9407004', '9407005', '9410212', '9605011', '9606087', '9608034', '9703059', '9708062', '9807067', '9901117', '9901123', '9908137', '0204201', '0204261']"
D.Luest,"['9205046', '9212089', '9404114', '9405002', '0012213']"
E.Elizalde,"['9205047', '9205048', '9205049', '9205050', '9206043', '9207046', '9209021', '9210085', '9211008', '9212096', '9212097', '9212139', '9301106', '9302074', '9303125', '9303126', '9304071', '9304091', '9305008', '9306123', '9308019', '9308020', '9308028', '9308048', '9311079', '9311087', '9312132', '9312164', '9401056', '9401057', '9402086', '9402087', '9402154', '9402155', '9403132', '9404064', '9406193', '9407120', '9408101', '9410101', '9411024', '9411216', '9412061', '9501015', '9501048', '9501067', '9503023', '9503111', '9504014', '9504093', '9505030', '9505065', '9505157', '9506061', '9508086', '9508097', '9508167', '9511031', '9511167', '9601101', '9602113', '9605026', '9606051', '9608056', '9608071', '9701060', '9707083', '9707257', '9710203', '9809203', '9809211', '9901026', '9906229', '0007094', '0012154', '0103128', '0105145', '0108134', '0204141', '0206114', '0206143', '0302155']"
S.D.Odintsov,"['9205047', '9205048', '9205049', '9205050', '9206043', '9207046', '9210085', '9211008', '9212097', '9212139', '9212140', '9301106', '9302074', '9303125', '9304071', '9304091', '9305008', '9306123', '9308019', '9308020', '9311079', '9311087', '9312132', '9312164', '9401056', '9401057', '9402087', '9402154', '9403184', '9403132', '9404064', '9406193', '9407120', '9408095', '9408101', '9411012', '9411024', '9411216', '9412061', '9501067', '9503111', '9503130', '9504014', '9504093', '9505030', '9505065', '9506117', '9506061', '9509064', '9511031', '9511167', '9601101', '9602110', '9603172', '9604163', '9604061', '9605195', '9606051', '9607038', '9611138', '9611151', '9612019', '9702097', '9703144', '9705008', '9706009', '9706062', '9708136', '9709077', '9711084', '9712060', '9801052', '9801071', '9804033', '9806116', '9812164', '9901026', '9902035', '9902184', '9908066', '0003158', '0008130', '0009059', '0106191', '0112045', '0210094']"
Noureddine Mohammedi,"['9205053', '9304013', '9310169', '9404132', '9412133', '9507040', '9512126', '9605070', '9608023', '9611218', '9709071']"
Kei Miki,"['9205055', '9305100', '9501138']"
Clifford V.Johnson,"['9205056', '9206066', '9301112', '9406069', '9409061', '9409062', '9409177', '9503027', '9509070', '9509170', '9602052', '9603061', '9604129', '9606176', '9606196', '9610140', '9703210', '9705148', '9706155', '9711082', '9804200', '9804201', '9805047', '9806115', '9808177', '9812196', '9902170', '9903238', '9904197', '9910040', '9911161', '0002244', '0004068', '0006037', '0007170', '0008081', '0008211', '0011008', '0011092', '0011166', '0105077', '0105159', '0107261', '0112058', '0112132', '0206045', '0211097', '0303255']"
Tim R.Morris,"['9205056', '9206066', '9405190', '9410141', '9503225', '9505003', '9508017', '9601128', '9602156', '9610012', '9612117', '9704094', '9704202', '9705088', '9709100', '9802039', '9810104', '9906166', '9910058', '0006064', '0008123', '0102027', '0102037', '0102120', '0106258', '0201237', '0205156', '0207153', '0207154', '0209130', '0209162']"
Anders Wätterstam,['9205056']
A.D'Adda,"['9205057', '9207086', '9212074', '9304015', '9309107', '9607013', '9610144', '9701145', '9809095', '9901053', '0001076', '0103242', '0110243', '0201181']"
V.Kazakov,"['9205059', '9303093']"
I.Kostov,"['9205059', '9208053', '9303093']"
M.Cvetič,"['9205060', '9210123', '9903051']"
R.L.Davis,['9205060']
Jennie Traschen,"['9205061', '9207070', '9212035', '9309075', '9604179', '9702109', '9707157', '9811037', '9811088', '9905094', '9906237', '0002220', '0009062', '0206105']"
Robert Ferrel,['9205061']
S.Pratik Khastgir,"['9205062', '9206017', '9211041', '9302069', '9311048', '9507001', '9512158', '9702170', '9805197']"
Gautam Sengupta,"['9205062', '9209068', '9601171', '9602145', '9609152', '9711040', '0104122', '0205087']"
Ulf H.Danielsson,"['9205063', '9211013', '9303002', '9306063', '9309157', '9401135', '9405052', '9504102', '9511180', '9603081', '9603082', '9610082', '9703098', '9709171', '9804141', '9807071', '9812007', '9905227', '9912209', '0004187', '0009182', '0012183', '0106201', '0110265', '0203198', '0205227', '0210058', '0210198', '0301182']"
D.Bernard,"['9205064', '9301084', '9311013', '9402144', '9404050', '9603010', '9606068', '9612099', '9612217', '9703055', '9712254', '0002207', '0109208']"
A.Leclair,"['9205064', '9206041', '9210009', '9402144', '9503088', '9503227', '9508099', '9701022', '9703055', '9703212', '9706150', '9707159', '9708135', '9811138', '9902075', '9904082', '9906138', '9911105', '0011189', '0301042']"
H.Y.Lee,['9205066']
A.Nakamichi,"['9205066', '9302004', '9306130', '9408178']"
T.Ueno,"['9205066', '9302004', '9306130', '9408178']"
P.Montague,"['9205067', '9307076', '9403088', '9410029']"
Vadim Kaplunovsky,"['9205068', '9205070', '9303040', '9502077', '9504006', '9506110']"
H.Grosse,"['9205071', '9403066', '9408097', '9505175', '9507074', '9510177', '9510083', '9602115', '9603071', '9609206', '9805085', '9902138', '0007050', '0012112', '0103164', '0108045', '0110231', '0202093', '0203141', '0209253']"
W.Kummer,"['9205071', '9707115', '9707041', '9710051', '9801122', '9802032', '9807122', '9809168', '9811092', '0001125', '0006108', '0012219', '0104123', '0110032', '0204253', '0208052', '0209209', '0301061']"
P.Prešnajder,"['9205071', '9603064', '0107037']"
D.J.Schwarz,['9205071']
A.N.Schellekens,"['9205072', '9304098', '9306145', '9311128', '9410010', '9412009', '9412118', '9612060', '9612093', '9706122', '9909114', '9911229', '0001198', '0004100', '0007174', '0009100', '0108035', '0110267', '0210014']"
C.F.Kristjansen,"['9205073', '9207020', '9208032', '9302014', '9303041', '9303042']"
R.H.Rietdijk,"['9205074', '9303112', '9404108', '9407148', '9510071', '9511166']"
M.A.Martín-Delgado,['9205076']
Swapna Mahapatra,"['9205078', '9206111', '9301125', '9401098', '9408063', '9503216', '9511021', '9608028', '9701173', '9706096', '9807014', '9908048', '0005051', '0106232']"
Måns Henningson,"['9205079', '9301005', '9307040']"
Arlen Anderson,"['9205080', '9205112', '9302061', '9302062', '9305054', '9310168', '9406182', '9507092']"
Stephen G.Naculich,"['9205082', '9207074', '9310105', '9406100', '9411143', '9804105', '9804151', '9806144', '0103047', '0106020', '0203270', '0204023', '0206094']"
Harold A.Riggs,"['9205082', '9310082', '9310105', '9406100', '9411143']"
Howard J.Schnitzer,"['9205082', '9206045', '9310082', '9310105', '9406100', '9501099', '9602069', '9704174', '9804008', '9804105', '9804151', '9806144', '0103047', '0106020', '0204023', '0206071', '0206094']"
Hidenori Sonoda,"['9205084', '9205085', '9212025', '9306119', '9406007', '9406035', '9410242', '9504133', '9509018', '9608050', '9608158', '9609132', '0002203', '0005188', '0008158', '0104242', '0108217', '0212302', '0302044']"
Stephane Durand,"['9205086', '9305128', '9305129', '9305130']"
Tatsuo Kobayashi,"['9205087', '9210157', '9302064', '9303091', '9308047', '9606189', '9612066', '9706176', '9803146', '9808178', '9808114', '9903103', '0210025', '0303009', '0304200', '0304212']"
Tsuneo Uematsu,"['9205087', '9210157', '9302064', '9601096', '9707056', '0011137', '0012098']"
Albert Schwarz,"['9205088', '9210115', '9212072', '9406120', '9408064', '9506070', '9511112', '9610122', '9706003', '9711162', '9811159', '9904168', '9912212', '0004088', '0011260', '0011261', '0102182', '0111174', '0210271']"
Curtis Callan,['9205089']
Hirosi Ooguri,"['9205090', '9210028', '9505183', '9511164', '9606112', '9608079', '9611063', '9612131', '9612254', '9702180', '9702203', '9705220', '9706082', '9708012', '9709211', '9710178', '9711143', '9801060', '9802005', '9802116', '9805129', '9806021', '9806171', '9810128', '9812046', '9904191', '9909040', '9912123', '0001053', '0005183', '0007104', '0009181', '0012218', '0103124', '0104036', '0105311', '0106129', '0111180', '0111135', '0112188', '0202157', '0205297', '0212277', '0301133', '0302109', '0303063']"
J.David Vergara,"['9205092', '9511092', '9608178', '0010114', '0011085', '0103057', '0201140', '0211165', '0212035', '0301223', '0302173', '0303064']"
P.Van Nieuwenhuizen,"['9205093', '9206097', '9303058', '9307027', '9401024', '9609074', '9701052', '9702123', '9707163', '9810115', '0001010', '0004186', '0007105', '0008045', '0011278', '0112162', '0202123', '0203066', '0203137', '0206216', '0207051', '0209026', '0211087', '0211149', '0212315', '0302078', '0302147']"
L.Dolan,"['9205094', '9410029', '9503210', '9601117', '9610091', '9711114', '9901030', '0010219', '0201027', '0201209']"
James T.Liu,"['9205094', '9210049', '9211056', '9506126', '9508094', '9707125', '9711173', '9801072', '9803073', '9809142', '9901149', '9903214', '9903269', '9905096', '9909012', '0003237', '0007120', '0009184', '0009212', '0010171', '0010025', '0011167', '0102093', '0105008', '0106162', '0110213', '0207003', '0211183', '0211196', '0212037', '0301187', '0303140', '0304253']"
Ian I.Kogan,"['9205095', '9208028', '9302129', '9311164', '9401093', '9407151', '9408081', '9410067', '9412232', '9504141', '9506190', '9507137', '9507170', '9511134', '9512210', '9602062', '9606102', '9607048', '9608031', '9611107', '9702088', '9703071', '9703128', '9703141', '9703209', '9705240', '9705136', '9711027', '9712046', '9802102', '9806197', '9902086', '9903162', '9911252', '9912136', '9912143', '0003074', '0003184', '0004185', '0004078', '0005028', '0006030', '0006213', '0010201', '0011138', '0011141', '0012128', '0012188', '0101171', '0105255', '0107163', '0107086', '0205026', '0206042', '0206044', '0208036', '0212137', '0212155']"
H.Cateau,"['9205096', '9310056']"
K.Sumiyoshi,['9205096']
J.Lee Montag,['9205097']
Hisao Suzuki,"['9205101', '9310180', '9410092', '9508001', '9609065', '9609066', '9612240', '9701094', '9705166', '9707022', '0211052', '0212121']"
Roberto Zucchini,"['9205102', '9307015', '9310061', '9403036', '9505056', '9508054', '9607003', '9804043', '9903161', '9907047', '9909179', '0003230', '0010110', '0210244']"
Jeremy Schiff,"['9205105', '9210029', '9210080', '9210137', '9211070', '9611081', '9701059']"
R.Cuerno,"['9205109', '9302089', '9304112']"
I.M.Krichever,"['9205110', '9604199', '9609145', '9609041', '9610156', '9704079', '9708170', '9904028', '9905168', '9909224', '0110098', '0212313']"
Hitoshi Ikemori,"['9205111', '9206061']"
P.C.Argyres,"['9205113', '9505100', '9511154', '9603042', '9705076']"
E.Lyman,['9205113']
S.-H.H.Tye,"['9205113', '9311021']"
Leonard Susskind,"['9205114', '9308139', '9309145', '9405103', '9501106', '9502069', '9506138', '9511116', '9511227', '9604042', '9611164', '9702101', '9704080', '9708083', '9709108', '9711063', '9712072', '9806136', '9901079', '9903228', '9908056', '9909013', '0002044', '0002075', '0003075', '0006192', '0012037', '0104180', '0107200', '0108076', '0112204', '0202163', '0204027', '0208013', '0209231', '0212209', '0302219']"
Larus Thorlacius,"['9205114', '9411020', '9506138', '9707167', '9708078', '9710097', '9710181', '0101080', '0206060']"
Hsien-Chung Kao,"['9205115', '9406049', '9506170', '9506093', '9612183', '9710221', '9904043', '0011132', '0110191', '0212196']"
Kimyeong Lee,"['9205115', '9211035', '9301102', '9406021', '9406049', '9501043', '9506170', '9510141', '9601097', '9602167', '9603128', '9605229', '9608185', '9609100', '9609137', '9612183', '9612194', '9702107', '9702200', '9706023', '9708149', '9709080', '9802012', '9802108', '9804174', '9810110', '9903095', '9906119', '9907090', '9909035', '9909218', '9911186', '9912083', '0005056', '0007107', '0007140', '0008031', '0008092', '0008103', '0011099', '0011244', '0102188', '0103148', '0109217', '0110249', '0204109', '0204111', '0204221', '0205274', '0206185']"
P.Teotonio-Sobrinho,"['9205116', '9301120', '9304067', '9310015', '9403067', '9505028', '9507147', '9507148', '9510217', '9612246', '9703014', '9905136', '9906174', '0005286']"
Feng Yu,"['9205117', '9210117', '9210118', '9210162', '9212138', '9301053']"
Yong-Shi Wu,"['9205117', '9209005', '9209011', '9210117', '9210118', '9210162', '9405054', '9611233', '9703016', '9706073', '9706224', '9708137', '9712201', '9801147', '9812143', '9901147', '9909085', '0005054', '0006114', '0006013', '0103020', '0110134', '0111109', '0211199']"
A.Berkovich,"['9206001', '9302001', '9403073', '9702026', '9712220', '9808013']"
Olivier Babelon,"['9206002', '9206003', '9309154']"
G.Giavarini,"['9206007', '9210113', '9303072', '9304085', '9305021', '9309049', '9406034']"
C.P.Martin,"['9206007', '9210113', '9302008', '9303072', '9305021', '9309049', '9406034', '9410223', '9411030', '9605001', '9610218', '9801185', '9903077', '9905076', '0002171', '0007131', '0008126', '0012024', '0102066', '0104091', '0110046', '0211164']"
Katri Huitu,['9206008']
Jin-Min Shen,['9206009']
Zheng-Mao Sheng,['9206009']
Zhong-Hau Wang,['9206009']
A.Hietamaki,['9206010']
A.J.Niemi,"['9206010', '9301059', '9305077', '9311102', '9402041', '9406068', '9407060', '9412023', '9705176', '0301185']"
Daniel C.Cabra,"['9206011', '9602041', '9803047']"
Shahn Majid,"['9206013', '9208006', '9208007', '9208008', '9208010', '9210044', '9212151', '9302076', '9303148', '9308072', '9308148', '9311109', '9311184', '9312140', '9312170', '9401112', '9402037', '9405107', '9406157', '9408056', '9409056', '9409057', '9409058', '9410241', '9907110', '0012123']"
M.J Rodriguez-Plaza,['9206013']
Neil Marcus,"['9206014', '9207024', '9211059', '9305003', '9405039', '9408116', '9409175', '9506002']"
Yaron Oz,"['9206014', '9305003', '9406056', '9410157', '9502058', '9505075', '9606112', '9611063', '9612131', '9702154', '9702173', '9703100', '9706082', '9708044', '9711143', '9712035', '9801060', '9803167', '9803050', '9803051', '9806021', '9809106', '9809173', '9810186', '9901088', '9903186', '9905148', '9907206', '9909215', '9910090', '0004009', '0004011', '0005242', '0007215', '0008172', '0009112', '0011288', '0012222', '0106187', '0106255', '0203052', '0203092', '0207223', '0208078', '0211147', '0211261', '0212147', '0303001', '0304103']"
V.A.Kazakov,"['9206015', '9212036', '9403099', '9601069', '9601153', '9605098', '9808043', '0003064', '0003065', '0104138']"
A.A.Migdal,"['9206015', '9306152', '9411100']"
N.R.Stewart,"['9206018', '9212146']"
Laurent Baulieu,"['9206019', '9403029', '9504015', '9512026', '9512027', '9601039', '9606080', '9607147', '9609207', '9611136', '9801014', '9805122', '9805200', '9907099', '9909006', '9909131', '0007027', '0012103', '0102075', '0107074', '0201109', '0201110', '0207020', '0303165', '0304221']"
Daniel S.Freed,"['9206021', '9209048', '9212115', '9306045', '9405012', '9712042', '9901094', '9907189', '0011220']"
Peter Schupp,"['9206024', '9206029', '9210150', '9306022', '9310100', '9312073', '9312075', '9312076', '9401141', '9402134', '9408170', '9508047', '9605133', '0001032', '0001203', '0005005', '0006246', '0009230', '0012225', '0102129', '0104153', '0106110', '0111038', '0205214', '0206101', '0302175']"
Paul Watts,"['9206024', '9206029', '9210150', '9306022', '9310100', '9312073', '9402134', '9412153', '9509044', '9603143', '9809078', '9911026', '0003234']"
Bruno Zumino,"['9206024', '9206029', '9210150', '9212093', '9306022', '9312073', '9401141', '9403093', '9602093', '9608188', '9705226', '9712103', '9807198', '9810099', '9811213', '9905218', '9909021', '0003228', '0009013']"
J.S.Dowker,"['9206025', '9206036', '9210013', '9306154', '9309043', '9309127', '9310128', '9312080', '9401068', '9401159', '9406002', '9406144', '9410204', '9502015', '9506204', '9506042', '9507096', '9508082', '9510020', '9511060', '9602089', '9608189', '9706129', '9712019', '9802029', '9803200', '9803094', '9806168', '9812202', '9906067', '0006138', '0007129', '0008059', '0107171', '0111139', '0203026', '0205029', '0301143']"
A.Wolski,['9206025']
E.Bergshoeff,"['9206026', '9206101', '9209037', '9209065', '9212037', '9303051', '9307046', '9312168', '9312185', '9409186', '9410230', '9411093', '9504081', '9504140', '9508091', '9511079', '9512152', '9601150', '9603123', '9605059', '9605087', '9605216', '9607238', '9609056', '9611099', '9611173', '9612095', '9704120', '9705040', '9706094', '9707130', '9712115', '9803090', '9804011', '9805065', '9812224', '9904020', '0005026', '0006112', '0009147', '0010151', '0103233', '0105061', '0112071', '0203202', '0209205', '0303113']"
L.A.J London,['9206026']
P.K.Townsend,"['9206026', '9212037', '9212125', '9303171', '9307049', '9307050', '9307066', '9307013', '9310118', '9405124', '9406015', '9410073', '9410167', '9501068', '9501069', '9504095', '9505032', '9505073', '9506131', '9506150', '9507048', '9508177', '9510190', '9511079', '9512062', '9601150', '9603087', '9605146', '9607164', '9608173', '9609095', '9609217', '9611173', '9612121', '9702202', '9705160', '9706094', '9708034', '9708074', '9709002', '9712004', '9801165', '9801206', '9804011', '9804177', '9805065', '9807137', '9810204', '9810230', '9812034', '9901102', '9903043', '9904020', '9905156', '9911154', '0004039', '0009147', '0012016', '0103030', '0110072', '0203181']"
A.Cappelli,"['9206027', '9211071', '9301115', '9303030', '9310181', '9502050', '9810105', '0009119']"
