Article,Articles référencés
0004130,"['0005099', '0006242', '9509033', '9605109', '9701125', '9702087', '9802143', '9901073', '9902081', '9904186', '9906164', '9906244', '9908105', '9910171', '9911065', '9911174']"
0004131,"['0001143', '0002211', '0002237', '9711200', '9802109', '9802150', '9805019', '9805104', '9805112', '9805129', '9806155', '9808141', '9809111', '9810188', '9901012', '9904048', '9904207', '9912249']"
0004132,"['9603152', '9603189', '9703144']"
0004133,"['0001033', '0001071', '0001159', '0001197', '0002040', '0002072', '0002121', '0002130', '0002147', '0002160', '0002161', '0002164', '0002174', '0002190', '0003002', '0003067', '0004124', '0004125', '9304062', '9411170', '9906064', '9908116', '9909041', '9909070', '9909130', '9909134', '9910081', '9912060']"
0004134,"['0001197', '0001206', '0003136', '9412184', '9503124', '9505073', '9510227', '9805167', '9809124', '9811141']"
0004135,"['0002043', '9308002', '9611228', '9807069', '9812090', '9903223', '9907180', '9907182']"
0004136,"['0001024', '9608116', '9612128', '9702180', '9704120', '9706109', '9711130', '9801134', '9801166', '9803163', '9803216', '9803260', '9806177', '9807140', '9808005', '9811024', '9811195', '9812205', '9901032', '9905156', '9905196', '9905217', '9907066', '9909015', '9910050', '9910095', '9912081']"
0004137,"['0002167', '0002234', '9204044', '9205111', '9206061', '9208047', '9305038', '9512026', '9906146']"
0004138,"['9407023', '9412228', '9510087']"
0004139,"['9802120', '9903017']"
0004140,"['9307117', '9311065', '9501107', '9806163', '9903018']"
0004141,"['0003037', '0003057', '0003075', '0003136', '0003173', '0003187', '9510161', '9511043', '9512077', '9611050', '9611159', '9611173', '9711078', '9711162', '9712185', '9801182', '9904095', '9910052', '9910053']"
0004142,"['0003136', '0005163', '9611065', '9612080', '9701008', '9701037', '9711200', '9802109', '9802150', '9803051', '9803053', '9803077', '9808016', '9808017', '9910053', '9911199']"
0004143,"['0004032', '9602080', '9603054', '9708045', '9812069', '9902115', '9903127', '9904159', '9905110', '9906172']"
0004144,"['0001018', '0001206', '0002076', '0002147', '9906064', '9908076', '9909205', '9911218']"
0004145,"['0003128', '9302046', '9306132', '9412136', '9503204', '9509028', '9509159', '9602009', '9604181', '9608110', '9703020', '9805109', '9808040', '9808104', '9810212', '9902146', '9903121', '9904183', '9908142']"
0004146,"['9212075', '9309106', '9612201', '9711200', '9802109', '9802150', '9809057', '9811035', '9811208', '9812089', '9902074', '9903090', '9904013', '9912155']"
0004147,"['0001027', '0001215', '0002075', '0002101', '0002158', '0002186', '0003075', '0003113', '0003145', '0003160', '0003176', '0003180', '0003215', '0003227', '0004013', '0004038', '0004072', '0004074', '0004080', '0004085', '9310187', '9403067', '9510217', '9610043', '9611042', '9611202', '9611233', '9612115', '9612222', '9701096', '9704037', '9705153', '9706107', '9706132', '9707190', '9707202', '9711162', '9711165', '9712206', '9802082', '9803031', '9803166', '9804001', '9804120', '9805034', '9805077', '9806099', '9810072', '9810099', '9810179', '9810219', '9812180', '9812219', '9903077', '9903107', '9903187', '9903205', '9904064', '9908019', '9908056', '9908141', '9908142', '9910004', '9910091', '9910138', '9911026', '9911041', '9911057', '9911098', '9912038', '9912070', '9912072', '9912075', '9912094', '9912130', '9912167', '9912272']"
0004148,"['0001103', '0002028', '0002056', '0002099', '0002160', '0002192', '0002226', '0003136', '0004063', '9408099', '9510101', '9703040', '9711200', '9802109', '9802150', '9803001', '9803002', '9803131', '9805104', '9810126', '9810206', '9811120', '9811167', '9812035', '9901041', '9902125', '9902155', '9903091', '9903214', '9904017', '9905081', '9905104', '9906194', '9906201', '9907070', '9908116', '9909041', '9909047', '9909121', '9909203', '9911040', '9911161']"
0004149,"['0002070', '0002094', '9211021', '9309023', '9409089', '9501066', '9503097', '9504083', '9507017', '9602096', '9603142', '9604084', '9610166', '9610238', '9610252', '9611039', '9701082', '9704013', '9705035', '9705050', '9706049', '9708046', '9709030', '9710188', '9711027', '9801073', '9803018', '9806230', '9806233', '9811089', '9811194', '9902126', '9903008', '9905175', '9906006', '9907067', '9909061', '9912005']"
0004150,"['0004107', '9810251', '9902040', '9910065']"
0004151,"['0003025', '0003136', '0004142', '9408074', '9510101', '9711200', '9802109', '9802150', '9805112', '9905111', '9906011', '9907189', '9908096', '9909028', '9910053']"
0004152,"['0003278', '0004018', '9506097', '9602016', '9603117', '9611024', '9710032', '9801199', '9802023', '9803229', '9809102', '9809161', '9809182', '9903245', '9906176', '9908115', '9912290']"
0004153,['9803091']
0004154,"['9205086', '9212157', '9305128', '9305130', '9312081', '9411028', '9510108', '9603149', '9606188', '9610087', '9709062']"
0004155,"['0001183', '0001197', '0001209', '0002174', '9510017', '9510209', '9511080', '9805156', '9902125', '9902155', '9903109', '9903225', '9905012', '9905210', '9906064', '9907209', '9908047', '9909053', '9910174', '9911181', '9911237', '9912125']"
0004157,"['9403188', '9408038', '9409183', '9504066', '9610043', '9710136', '9807180', '9812219', '9906019', '9906072', '9906161', '9908056', '9908112', '9908142', '9911140']"
0004158,"['9601039', '9707185', '9709109', '9801024', '9803063', '9803133', '9805153', '9810167', '9904045', '9906129', '9909011', '9911242']"
0004159,"['0001105', '0002067', '0002075', '0002186', '0003113', '0003145', '0003160', '0003180', '0004104', '9401139', '9610043', '9710009', '9711162', '9711165', '9803067', '9810072', '9810179', '9812219', '9903205', '9906161', '9906192', '9908056', '9908105', '9908142', '9911140', '9912038', '9912072', '9912094']"
0004160,"['0001092', '0002091', '0004067', '9510209', '9603142', '9711200', '9808032', '9810155', '9905111', '9905210', '9906064', '9909053', '9909130', '9909134', '9909205', '9910132', '9910149', '9910219', '9911015', '9911043', '9911055', '9911165', '9911181', '9912118', '9912135', '9912287']"
0004161,['9901163']
0004162,"['9302116', '9306117', '9403104', '9404094', '9406213', '9503032', '9509003', '9703090', '9706198']"
0004163,"['9511080', '9511139', '9511176', '9606105', '9612091', '9702053', '9803011', '9806244', '9810078', '9903011', '9903055', '9903206', '9905190', '9910060', '9911063', '9911214']"
0004165,"['0001197', '0001206', '0002147', '0002164', '0004133', '9503030', '9509080', '9510017', '9702093', '9707148', '9707160', '9803194', '9805019', '9808141', '9812031', '9905159', '9908023', '9908072', '9911081', '9912012', '9912018']"
0004166,"['0001033', '0001113', '0002091', '0003061', '0004056', '0004126', '0004160', '9510017', '9510209', '9905012', '9905210', '9906064', '9909053', '9910093', '9910149', '9910219', '9911055', '9911165', '9912233', '9912287']"
0004167,"['9407087', '9411102', '9505186', '9507158', '9606112', '9608116', '9704167', '9705127', '9705138', '9706225', '9707118', '9911206']"
0004168,"['9302116', '9306006', '9308009', '9312161', '9403104', '9610247', '9611224', '9703200', '9710025', '9809062', '9908181']"
0004169,"['9212145', '9901133']"
0004170,"['0003282', '9202059', '9308090', '9408149', '9606135', '9702105', '9806227', '9810155', '9905122', '9910147', '9911029']"
0004171,['0001035']
0004172,"['0001012', '9210045', '9304096', '9407031', '9512042', '9605046', '9605097', '9608020', '9702019', '9706069', '9902012', '9904207', '9909017']"
0004173,"['9308027', '9310185', '9609089', '9705183', '9710209', '9911053']"
0004174,['9904160']
0004175,['9409068']
0004176,"['9404159', '9603204', '9609206']"
0004177,"['9203057', '9204099', '9506035', '9803049', '9903257']"
0004178,"['9611213', '9706141', '9809124', '9811084', '9901111', '9908090', '9909015', '9910071']"
0004179,"['9608111', '9711200', '9802109', '9802150', '9804006', '9804083', '9810148', '9902208', '9904010', '9905111', '9905148', '9906221', '9910192']"
0004180,"['0001021', '9307030', '9309039', '9403101', '9406206', '9601091', '9612039', '9906007']"
0004181,"['9206114', '9306002', '9407117', '9409108', '9506136', '9608091', '9611238', '9701107', '9702190', '9706017', '9805117', '9807160', '9909031']"
0004182,"['9304154', '9511129', '9707204', '9710199', '9805109', '9807180', '9901084', '9904152', '9904203']"
0004183,"['0001027', '0001118', '0001144', '0001182', '0001203', '0001215', '0002067', '0002075', '0002084', '0002119', '0002143', '0002158', '0002171', '0002186', '0002210', '0003007', '0003024', '0003037', '0003044', '0003057', '0003113', '0003145', '0003160', '0003180', '0003187', '0003215', '0003227', '0004013', '0004038', '0004080', '0004085', '0004115', '9601143', '9602055', '9607141', '9612222', '9711162', '9711165', '9803031', '9803044', '9804001', '9810072', '9812180', '9812219', '9903077', '9903107', '9903187', '9903205', '9906192', '9908040', '9908056', '9908141', '9908142', '9908152', '9910004', '9910091', '9911098', '9911153', '9912072', '9912075', '9912094', '9912153', '9912158', '9912167', '9912183']"
0004184,"['9309150', '9405145', '9502083', '9709109', '9801024', '9803063', '9803133', '9810167']"
0004185,"['0002106', '0003205', '9504141', '9607049', '9711002', '9711200', '9802109', '9802150', '9803002', '9806217', '9807226', '9809057', '9903190', '9904017', '9904191', '9905111', '9907158', '9910099', '9911215']"
0004186,"['0001010', '0003261', '9408099', '9503115', '9511080', '9602073', '9603136', '9607076', '9607202', '9608054', '9608174', '9701093', '9704145', '9706225', '9710023', '9710151', '9711107', '9711200', '9712164', '9802109', '9802150', '9804009', '9804123', '9804170', '9807033', '9808157', '9810243', '9901128', '9902018', '9902042', '9903189', '9904116', '9905209', '9908020', '9908125', '9912006']"
0004187,"['0001056', '0001179', '0001215', '0002075', '0002186', '0003032', '0003113', '0003145', '0003176', '0003180', '0003215', '0003227', '0003289', '0004115', '9409089', '9510017', '9510135', '9602135', '9611214', '9702076', '9703040', '9704195', '9708005', '9708147', '9709027', '9711200', '9802109', '9802150', '9803001', '9803002', '9803023', '9804019', '9804058', '9805082', '9805112', '9805114', '9805129', '9805140', '9806074', '9807179', '9808017', '9808149', '9809022', '9810092', '9812007', '9901060', '9902052', '9903048', '9903227', '9904142', '9904191', '9905111', '9905118', '9905174', '9906151', '9906153', '9906182', '9907022', '9907142', '9907166', '9908105', '9908134', '9908142', '9909082', '9910052', '9910053', '9912072', '9912073', '9912075']"
0004188,"['0001002', '0001033', '0001071', '0002176', '0003117', '0003248', '0004136', '9507048', '9611213', '9612128', '9706089', '9706141', '9706217', '9811195', '9905165', '9905196', '9905217', '9906064', '9907066', '9907209', '9908090', '9908186', '9909001', '9909015', '9909058', '9909070', '9909130', '9909134', '9910095', '9911083', '9911104', '9911154', '9912015', '9912081', '9912132', '9912162']"
0004189,"['9303160', '9511134', '9606138', '9705240', '9711155', '9807091']"
0004190,['9912253']
0004191,"['9304154', '9511168', '9707204', '9710199', '9805109']"
0004192,"['0004193', '9906140']"
0004193,['0004192']
0004194,"['9610043', '9703030', '9704080', '9709029', '9804121', '9807232', '9809095', '9809130', '9901093', '9903246', '9905087', '9912103']"
0004195,"['0004086', '9410167', '9503124', '9505073', '9507121', '9512059', '9512062', '9512181', '9603126', '9604055', '9609161', '9610234', '9702136', '9704089', '9705117', '9705162', '9705221', '9710063', '9712117', '9803205', '9909094', '9911147']"
0004196,"['9207094', '9210124', '9212110', '9305112', '9311130', '9402093', '9403119', '9412210', '9712139', '9802016', '9809187', '9811131', '9812127', '9905111', '9910181', '9912123']"
0004197,['9811157']
0004198,"['0001084', '0001143', '0002180', '0002211', '0003122', '0003211', '0003220', '0003221', '9402032', '9503124', '9505053', '9506126', '9510017', '9510161', '9510169', '9511222', '9512077', '9512219', '9601029', '9601085', '9603086', '9605033', '9606073', '9611214', '9611230', '9701137', '9702037', '9703082', '9705023', '9705074', '9705084', '9705130', '9705221', '9707068', '9708147', '9709027', '9710206', '9710230', '9711043', '9711200', '9711205', '9712004', '9712092', '9801158', '9802088', '9802109', '9802150', '9803001', '9803002', '9803194', '9805019', '9805112', '9805170', '9806155', '9806199', '9807179', '9808074', '9808141', '9809057', '9810092', '9810188', '9811024', '9811035', '9811156', '9812012', '9812031', '9812071', '9812088', '9812089', '9812135', '9812149', '9901014', '9901060', '9901101', '9902196', '9903123', '9903210', '9904207', '9905006', '9905111', '9905118', '9905157', '9905195', '9906055', '9906179', '9907022', '9909062', '9909172', '9910053']"
0004199,"['9412184', '9511162', '9603087', '9604179', '9702163', '9702202', '9705011', '9805131', '9808014', '9810201', '9902010', '9908018', '9910077', '9910086', '9911042', '9911253']"
0004200,"['9702049', '9802066', '9803177']"
0004201,"['0001065', '0002056', '0003103', '0003286', '9412184', '9612229', '9711200', '9802109', '9807137', '9811120', '9901056', '9903214', '9906194', '9908116', '9909041', '9909121', '9912132']"
0004202,['9704101']
0004203,"['9204048', '9305010', '9306073', '9502032', '9511168', '9704150']"
0004204,"['9201056', '9207094', '9212149', '9301068', '9504090', '9506122', '9507115', '9602135', '9711200', '9802109', '9802150', '9803171', '9805156', '9807080', '9807164', '9809187', '9811131', '9902022', '9902131', '9904187', '9905111', '9905226', '9907216', '9908148', '9911095']"
0004205,"['9409133', '9703139', '9803250', '9907176']"
0004206,"['0001197', '0001206', '0002033', '0002147', '0002160', '0002164', '0002174', '0003067', '0004124', '0004125', '0004126', '0004133', '0004160', '9906064', '9910093', '9911165', '9912012', '9912018', '9912156']"
0005001,"['0001197', '0001206', '0002040', '0002121', '0002160', '0002164', '0003299', '0004124', '0004125', '0004126', '0004133', '9903225', '9905012', '9909134', '9910081', '9910132', '9910219']"
0005002,"['9411028', '9503205', '9611041', '9705208', '9806024']"
0005003,"['9202085', '9204099', '9206103', '9306096', '9601029', '9603078', '9603100', '9604042', '9608096', '9710016', '9802150', '9803131', '9804074', '9804085', '9804166', '9805097', '9806104', '9812012', '9812206', '9812240', '9901135', '9903163', '9903267', '9905111', '9906112', '9910013']"
0005004,"['9209016', '9407147', '9502110', '9503124', '9605018', '9701082', '9802096', '9902048', '9906124', '9906146']"
0005005,"['0001032', '0001203', '9611042', '9711162', '9711165', '9807198', '9812219', '9903205', '9908142', '9909081', '9909176', '9910138', '9912070', '9912293']"
0005006,"['0001066', '0003122', '0003160', '0003221', '0004141', '9511194', '9711183', '9805019', '9805170', '9806155', '9807138', '9808141', '9809111', '9810188', '9812031', '9812135', '9904207', '9905006', '9905157', '9906109', '9908126', '9908142', '9909062', '9910249', '9911116']"
0005007,"['0001027', '0002067', '0002075', '0002186', '0002187', '0003113', '0003145', '0003180', '0003215', '0003227', '0004038', '0004080', '0004085', '0004115', '0004187', '9711162', '9711165', '9711200', '9802109', '9802150', '9803031', '9804058', '9804149', '9805082', '9805140', '9808016', '9808017', '9810072', '9812219', '9903107', '9903205', '9904142', '9907166', '9908056', '9908134', '9908141', '9908142', '9909059', '9909085', '9910004', '9910091', '9910194', '9911041', '9911137', '9912072', '9912094', '9912165']"
0005008,"['9407087', '9407192', '9408099', '9506144', '9603150', '9605150', '9605199', '9606086', '9608111', '9609070', '9609071', '9609219', '9609239', '9702198', '9705131', '9706025', '9706110', '9709010', '9801036', '9903053']"
0005009,"['0003048', '9305020', '9611047', '9902204', '9903193', '9908157']"
0005010,"['0003092', '9304154', '9503182', '9506109', '9510023', '9701069', '9701157', '9702184', '9709180', '9805109', '9809136']"
0005011,"['0002167', '9302136', '9304007', '9310179', '9409046', '9503192']"
0005013,"['9905012', '9905210', '9906064', '9906182', '9907080', '9909053', '9909134', '9910149', '9910174', '9910219', '9912001', '9912287']"
0005014,"['0001033', '0001113', '0003117', '0003197', '0004014', '0004188', '9201007', '9604090', '9611213', '9905196', '9905217', '9906064', '9907209', '9908076', '9908186', '9909015', '9909058', '9909070', '9909134', '9910093', '9910095', '9911083', '9911104', '9912018', '9912058', '9912060', '9912081']"
0005015,"['0004074', '0005129', '9306069', '9308139', '9510200', '9611072', '9611214', '9711162', '9711165', '9805069', '9901080', '9908056', '9908142', '9908152']"
0005016,"['0002072', '0002091', '0002161', '0002190', '0003020', '0003045', '0003054', '0003074', '0003162', '0004028', '0004057', '9611213', '9906064', '9911055']"
0005017,"['9611213', '9902069', '9902070', '9906064', '9909076', '9912229']"
0005018,"['0001164', '9606037', '9611055', '9903040', '9910139']"
0005019,"['0002238', '9302012', '9511151', '9710042', '9903147', '9903200']"
0005020,"['9706195', '9711200', '9802042', '9802109', '9802150', '9807226', '9904017', '9905111', '9905177', '9910099']"
0005021,"['0001213', '0002198', '0002250', '9308042', '9408134', '9511164', '9601029', '9602043', '9602051', '9603167', '9605016', '9610140', '9610250', '9701093', '9704089', '9705221', '9707158', '9707250', '9709107', '9710014', '9711200', '9808149', '9809033', '9812165', '9902032', '9902058', '9903201', '9905111', '9906048', '9907166', '9908134', '9909085', '9909110', '9909215', '9910036', '9911039', '9911147', '9911169', '9912165']"
0005023,"['9405109', '9510087', '9604025']"
0005024,"['9703139', '9803250', '9907176', '9911072']"
0005025,"['0004067', '0004126', '0004160', '0004166', '9902071', '9903225', '9905012', '9905210', '9906064', '9909053', '9910093', '9910149', '9910219', '9912160']"
0005026,"['0004049', '0005123', '9512059', '9512062', '9603126', '9604055', '9606118', '9607227', '9610234', '9611008', '9701149', '9701166', '9702008', '9708147', '9709014', '9709027', '9710223', '9711162', '9711165', '9712059', '9803031', '9804115', '9805034', '9810116', '9812219', '9902171', '9906161', '9906192', '9908134', '9908142', '9909094', '9909215', '9911169', '9912065']"
0005027,"['9206053', '9403141', '9412229', '9506136', '9604044', '9607099', '9611238', '9709034', '9802132', '9805008', '9902075', '9909019', '9911016']"
0005028,"['9408134', '9506027', '9510117', '9607107', '9611050', '9611151', '9701122', '9705185', '9707167', '9804096', '9806199', '9809033', '9902058', '9904094', '9905030', '9911004']"
0005029,"['0001130', '0002211', '0003033', '0208020', '9403040', '9503124', '9503207', '9506014', '9507012', '9510017', '9510135', '9510161', '9510169', '9511194', '9603167', '9604091', '9612126', '9612162', '9701137', '9702006', '9707148', '9707160', '9711098', '9711200', '9712186', '9712230', '9712257', '9803048', '9803194', '9805019', '9805170', '9806155', '9807076', '9807213', '9808056', '9808141', '9809111', '9810129', '9810188', '9811035', '9812031', '9812089', '9812135', '9812193', '9901014', '9901042', '9901101', '9902120', '9902160', '9902196', '9903123', '9904207', '9905006', '9906055', '9906109', '9906200', '9906234', '9908023', '9908040', '9908060', '9908072', '9908126', '9909030', '9909072', '9909172', '9910109', '9910156', '9910217', '9911081', '9911116', '9912161', '9912249', '9912275']"
0005030,"['9212037', '9401027', '9506199', '9512216', '9605033', '9606178', '9611232', '9701171', '9702035', '9704034', '9704136', '9706119', '9710206', '9804012', '9804070']"
0005031,"['0001143', '0002117', '0002211', '0002223', '0002237', '0003031', '0003101', '0003122', '0003160', '0003221', '0004106', '0005006', '9604134', '9610043', '9703030', '9708147', '9709014', '9709027', '9711162', '9711200', '9805019', '9806155', '9808141', '9809111', '9812031', '9812135', '9901159', '9902105', '9904207', '9908142', '9909062', '9909176', '9911116', '9912165', '9912249']"
0005032,"['0001126', '0003052', '0004056', '0004067', '0004160', '0004166', '0005025', '9501066', '9510209', '9602070', '9603133', '9608019', '9710208', '9801087', '9803235', '9806022', '9806051', '9809147', '9809195', '9812052', '9902071', '9903225', '9905012', '9905210', '9907080', '9908076', '9909053', '9909103', '9909134', '9910093', '9910219', '9911181']"
0005033,"['0003061', '0004064', '9906064', '9912233']"
0005034,"['9602022', '9611203', '9711017', '9803188', '9804028', '9808069', '9808100', '9904063', '9904134', '9907148']"
0005035,"['9601072', '9602022', '9611203', '9711017', '9803188', '9804028', '9808069', '9808100', '9810145', '9904063', '9904134', '9905112', '9907113', '9911080', '9911082']"
0005036,"['0001084', '0001143', '0001201', '0002117', '0002211', '0002237', '0003031', '0003101', '0003220', '0004015', '0004131', '9305139', '9402113', '9404008', '9406125', '9503099', '9605088', '9608024', '9705038', '9705241', '9805019', '9805170', '9808141', '9810188', '9811237', '9812031', '9812135', '9902105', '9911116', '9912120', '9912121', '9912249']"
0005037,"['9206002', '9412127', '9512105', '9606066', '9909118']"
0005038,['9911168']
0005039,"['9202001', '9806228']"
0005040,"['0004074', '0005015', '9308139', '9705221', '9711112', '9711162', '9711165', '9808149', '9812219', '9901080', '9903205', '9904142', '9908056', '9908142', '9908152']"
0005041,"['9206026', '9505128', '9903245']"
0005042,"['9405029', '9612122', '9905135']"
0005043,"['9410103', '9807094']"
0005044,"['0005086', '9504006', '9512143', '9612203', '9703075', '9706108', '9706119', '9706169', '9706216', '9707236', '9709088', '9710212', '9711038', '9711059', '9805152', '9805199', '9806129', '9811180', '9912052']"
0005045,"['0002082', '0002176', '9604090', '9706139', '9706141', '9707016', '9811084', '9905196', '9905217', '9907066', '9908090', '9910095', '9912015', '9912081', '9912162']"
0005046,"['0005015', '9402032', '9711162', '9908142', '9912174']"
0005047,"['0001054', '0002186', '0003136', '0005021', '9201017', '9202004', '9410074', '9507012', '9603126', '9604055', '9605016', '9610043', '9704018', '9704080', '9704089', '9705221', '9707079', '9707093', '9707170', '9710014', '9710023', '9711200', '9712117', '9808061', '9808149', '9810132', '9812237', '9902058', '9904142', '9905111', '9907178', '9907210', '9909017', '9909101', '9909110', '9911039', '9911147', '9912072']"
0005048,"['0001118', '0002186', '0003113', '0003145', '0003180', '0003215', '0004013', '0004183', '0005015', '9209032', '9711162', '9903205', '9907166', '9908105', '9908134', '9912072']"
0005049,"['0001025', '0001132', '0002037', '0002218', '0002242', '0003242', '0003263', '9407087', '9504090', '9507158', '9508072', '9508155', '9602111', '9603090', '9604034', '9607108', '9608005', '9609239', '9610105', '9610157', '9611161', '9611190', '9612076', '9612195', '9701054', '9702103', '9703082', '9703101', '9704147', '9705131', '9705169', '9706110', '9708065', '9711200', '9801140', '9801205', '9802033', '9802109', '9802150', '9803142', '9803228', '9804164', '9804174', '9805220', '9807056', '9807087', '9812049', '9812073', '9902100', '9906200', '9907013', '9908135', '9910021', '9910053', '9910170', '9910172', '9911001', '9911066', '9911136', '9911161', '9912002', '9912053', '9912188']"
0005050,['9512070']
0005051,"['9402073', '9707176', '9710214', '9711181', '9711200', '9801038', '9801165', '9807137', '9808181', '9810090', '9910116']"
0005052,"['0001066', '0001199', '0002100', '0003037', '0003187', '0003219', '9210063', '9402073', '9503207', '9506014', '9511164', '9602052', '9603097', '9608127', '9609112', '9611230', '9612148', '9702014', '9704043', '9704104', '9707192', '9711069', '9711177', '9712256', '9712258', '9801002', '9801017', '9801020', '9802067', '9808149', '9811167', '9812193', '9901122', '9903201', '9904145', '9904207', '9905038', '9906215', '9907178', '9907183', '9908036', '9908040', '9909030', '9909110', '9909163', '9911039', '9911147']"
0005053,"['0001056', '0002106', '0003188', '9201013', '9208046', '9303139', '9312213', '9405011', '9409093', '9409190', '9501013', '9502091', '9505035', '9512161', '9707029', '9711002', '9711006', '9711200', '9802007', '9802109', '9802150', '9807125', '9808042', '9810022', '9810031', '9903087', '9904044', '9909126', '9912012', '9912058', '9912092']"
0005054,"['0001002', '0001222', '0002075', '0002126', '0002186', '0003147', '9510135', '9611233', '9612222', '9709220', '9710009', '9711162', '9711165', '9711200', '9712201', '9801147', '9802109', '9802150', '9805114', '9806087', '9807137', '9807226', '9902121', '9903187', '9904017', '9906127', '9907166', '9908056', '9908134', '9908142', '9909058', '9909070', '9909085', '9909197', '9909215', '9910099', '9910124', '9911137', '9911240', '9912012', '9912018', '9912072', '9912094', '9912191']"
0005055,"['0003249', '9209049', '9306013', '9307111', '9409064', '9504150', '9510135', '9610043', '9612146', '9703030', '9711200', '9806133', '9904027', '9906087', '9909220', '9910222', '9911243']"
0005056,"['9601097', '9602167', '9603176', '9804174', '9906119', '9907090', '9909035', '9911126', '9912082', '9912083']"
0005059,"['0002075', '0002186', '0002236', '0003007', '0004024', '0005046', '0005048', '9401105', '9403173', '9609202', '9711162', '9803031', '9805034', '9812180', '9907211', '9908019', '9908142', '9909081', '9912072']"
0005060,"['0003279', '9410067']"
0005061,"['9212030', '9308077', '9309039', '9310112', '9311012', '9401025', '9403041', '9404063', '9410230', '9504081', '9505052', '9601171', '9604119', '9609152', '9709142', '9907202']"
0005062,"['0008235', '9802030', '9803156', '9803210', '9804106']"
0005063,"['9205015', '9206071', '9206081', '9211135', '9301002', '9309094', '9311047', '9411012', '9611145', '9810095', '9912098']"
0005064,"['9609035', '9610193', '9702049', '9802191', '9807069', '9808129', '9811053', '9811077', '9901037', '9909004']"
0005065,"['0001053', '0002100', '0003053', '9211080', '9402073', '9503205', '9701025', '9702187', '9703030', '9704080', '9705208', '9709220', '9710009', '9711200', '9712251', '9802109', '9802150', '9804085', '9806024', '9806026', '9806194', '9812027', '9812046', '9812073', '9812100', '9812216', '9903219', '9903224', '9904024', '9904040', '9905004', '9905111', '9907087', '9907178', '9909110']"
0005066,"['0001033', '0001206', '0002072', '0002190', '0003020', '0003054', '0003074', '0003076', '0003109', '0004028', '0004134', '0005013', '0005014', '0005016', '9904041', '9905196', '9905210', '9905217', '9906064', '9907080', '9907209', '9908186', '9909015', '9909053', '9911083', '9911104', '9912232']"
0005067,"['0001055', '0001101', '0002103', '0003085', '0005029', '0208020', '9210127', '9409188', '9512155', '9601038', '9602022', '9602070', '9602114', '9603074', '9603133', '9603161', '9603167', '9604129', '9604178', '9605049', '9605184', '9606122', '9606139', '9606169', '9607144', '9610140', '9611230', '9702014', '9702038', '9704059', '9704151', '9705163', '9706051', '9706158', '9708040', '9801134', '9802067', '9802103', '9802183', '9802202', '9803015', '9803086', '9803214', '9803224', '9804026', '9804110', '9804184', '9805139', '9805157', '9806044', '9806080', '9806143', '9807080', '9807082', '9807235', '9808139', '9810010', '9810201', '9811004', '9811139', '9811168', '9811183', '9811201', '9811217', '9811230', '9811258', '9812025', '9812195', '9901009', '9901091', '9903031', '9903052', '9903093', '9904071', '9905159', '9905212', '9906012', '9906039', '9906064', '9907086', '9907186', '9908023', '9908072', '9908088', '9909172', '9911021', '9911081', '9912108', '9912208']"
0005068,"['0001001', '0001083', '9506144', '9507158', '9508177', '9511080', '9606112', '9608174', '9610237', '9701093', '9701149', '9701166', '9706195', '9707013', '9708003', '9710078', '9803259', '9806051', '9808080', '9901126', '9907133', '9907170', '9911206', '9912065']"
0005070,"['9811016', '9902133']"
0005071,"['9310044', '9502056', '9506109', '9603031', '9607070', '9702102']"
0005072,"['0001041', '0003017', '9210099', '9302047', '9505053', '9506126', '9512081', '9604089', '9610234', '9702076', '9703040', '9704145', '9706175', '9707013', '9707018', '9707134', '9708005', '9710023', '9711200', '9803205', '9804083', '9804170', '9805041', '9805156', '9806087', '9808060', '9808061', '9812092', '9901121', '9903033', '9903124', '9904179', '9910113', '9910267', '9911135']"
0005073,"['0001118', '0004074', '0005015', '0005040', '0005046', '0005048', '9209032', '9711162', '9711165', '9711200', '9802052', '9802109', '9802150', '9803067', '9812219', '9901080', '9903205', '9907166', '9908134', '9908142', '9908152', '9912072']"
0005074,"['0002027', '9610234', '9701008', '9806016', '9908107', '9912086']"
0005075,"['9209049', '9306013', '9307111', '9501024', '9508006', '9511104', '9703114', '9709097', '9710240', '9805155', '9805188', '9809084']"
0005076,"['0001036', '9402044', '9403198', '9407087', '9408099', '9411047', '9411048', '9411149', '9503086', '9503163', '9503179', '9505004', '9505006', '9505062', '9505075', '9505100', '9505150', '9507008', '9507032', '9508002', '9509175', '9509176', '9510222', '9511154', '9603002', '9603042', '9603051', '9605178', '9608129', '9609021', '9703072', '9705069', '9707005', '9801027', '9911097']"
0005077,"['0001137', '0001188', '0003009', '0004081', '0004119', '9212088', '9303012', '9401059', '9405005', '9609174', '9711023', '9711057', '9711096', '9801042', '9803007', '9809194', '9907096', '9912207']"
0005078,"['9603057', '9604111', '9607124', '9710062', '9802167', '9804143', '9807031', '9902064']"
0005079,"['0002195', '0004176', '9907221']"
0005080,"['9201040', '9711100', '9807066', '9812219', '9905043', '9906161', '9906192', '9908142', '9912254', '9912274']"
0005081,"['9305109', '9711200', '9802109', '9802150', '9804058', '9806074', '9809027', '9812034', '9812047', '9812073', '9902040', '9903043', '9905070', '9905075', '9905111', '9906056', '9906102', '9906105', '9908153', '9910111']"
0005082,"['9709024', '9709144', '9712108', '9807158', '9903076', '9905022']"
0005083,"['0002034', '0004140', '9301114', '9402077', '9412195', '9511068', '9602156', '9607188', '9802064', '9809004', '9810117', '9904107', '9912020']"
